comments
"Everything is best except the thing that one plus hasn't provided headphones with handset..n even cleaning cloth is not there...only one transparent cover case is available..phone doesn't have headphones jack n hence it should have provided headphones..mine is mirror Black..
            "
" Do watch the video. M very disappointed with the product
            "
"The same thing happening in the new replaced phone also I feel disappointed it's not worth for the money. It's hanging a lot in phone application. I am getting irritated when I am try to make a call. I need to wait for 30 to 40 seconds in that to most of the time it closing automatically showing phone is not responding. I didn't expect this from one plus. Totally waste product...
            "
"Worth every buck.Finally one plus has involved and presented a better shaped handset.- Amazing display quality and the curved edged display.- Best in class camera.- Better battery life and charging.
            "
"Waste of money this time one plus 7 pro heavy weight not disply gud compare to samsung, also inbuilt screen guard getting with bubles and in youtube show wireless headphone and 2 axtra cover with phone but not recived this time really waste of money
            "
"This phone has a hanging issue. Nd ur customer care says they can send d technician on 25th. Its like  i hv spent 53000 nd still i cant use a phone.
            "
"Awesome device, and hats off to amazon for such speedy delivery.I ordered it on 16th May 12PM and it got delivered by 17th May 10AMAnd so far I m absolutely loving this device, buttery smooth and blazing fast. But its a bit big, afterall 6.7 inches is quite a number and super slippery if used without the case.And I am awestruck by the speed it charges. <U+0001F60D>
            "
"No 4G direct video call!! What a mess! Clearly over priced. Display is stunning. Performance stunning. Average battery backup. Over hiped device as usual!! Worst RAM management! Only 2GB RAM is free out of 8GB in most optimized state with all the back ground applications are closed. Next upgrade should solve the RAM management problem and Direct 4G video call feature. Camera is good but not ground breaking at this price tag and as hyped by the company.
            "
"just bought oneplus 7 prowas exploring itsaved both of my thumbs as fingerprint but the phone opened with my right index fingerprintwhat the hell is this
            "
"I am giving 1 star for poor camera quality .The camera is bad than my oneplus 3.Its not able to focus correctly and the final image is blurry.I discovered the issue when clicking a pic of a document.The text was not sharp and all and after doing some more testing with 3rd party apps , and going thru Oneplus Forum, found that many people are facing this same issue.Oneplus should fix this issue, else this would be like OP 2
            "
"I got the Phone Yesterday. And from my 1 Day experience I'm giving you short review.. I won't go for the things It doesn't have.. I'll tell, how it works with the Things it have..1. Oh Boy, the Display, It's Smooth as Butter.. I think it's the best thing of this Phone.. You can use it all day and It's really really Awesome. No Display and I say No Display is Smooth and Vivid as This One...2. Speed! 90Hz Display and SD 855 show it's Muscle here.. From app opening to Gaming, it does everything smoothly!3. Build Quality is Great. It feels Solid. No way it's A One Handed Device. Slightly Heavier Side.4. Warp Charge!! Yesterday at Night 11.30 pm I started Charging with 11% Battery. Within 12.35 am it's 100%. It's Blazing Fast.Now Let's Talk about some Mediocre Stuff-4. Camera! It's Ok I'd say.. Colour is slightly shifted.. I don't know Why but My Poco is Capturing Better image than this in Automatic Mode.. It's Good and like traditional One Plus Camera.. The Only Weakness!! Front Camera is good but nothing Mind-blowing Crazy..  It tends to Crop too much in Front Camera Portrait Shots.I hope One Plus implement Wide Angle Video Recording..All I can say, It's Good Phone for 52K.. Value for Money.. But Market will be Competitive in May with Asus and Redmi New Launch. So if you can, Wait for 1 Month and Compare with Other Things.But If for Display, I will Choose this Phone Anyday over Upcoming Ones.. It's Best.... I think till Samsung Note 10, the One Plus Display will be Champion in Market.I didn't talk about 3.0 UFS storage cause everyday usage you won't see much difference.And Sorry for my Poor English!
            "
"This is a beast of a phone. Fastest processor amongst Android phones. Full screen AMOLED display takes the viewing experience to another level. Stereo speakers quality is too good. Can't ask for a better phone.
            "
"Camera quality is not up to mark as per price range. There is Slow motion video recordering blanking problem. Picture clearly of 3 camera is poor. Avoid to Buy this Product.
            "
"Phone is awesome but c connector for 3.5jack  not provided in box however in 6T they provide that same 7 pro is upgraded and high rate phone they should provide that same ! Really unhappy <U+0001F614> with OnePlus first time I purchased one plus phone and my expectations not meet !
            "
"Camera quality is almost same as 6T, which is worst, utterly flopped popup cameraDisplay of dark cell is very bad, M30 is much better than thisI don't know about this ram, without optimizing software, more power consumption which leads battery drains fast over multi tasking and produces heat.Finally oneplus is no more for mid range premium customers. 10k higher
            "
"After using 36 hrs am writing this review.Screen,sound ,build quality are just awesome.I found only few Cons. like-1.battery back up2. No type-C to 3.5 jack in box where it was available with 6T model.3. No headphone/earphone in box.after paying 48999 u can expect a pair of headphone
            "
"I am using this product since 2 week and I'm impressed with the product in all the way.Thank you one plus.
            "
"It's Bulky in handit's not charging fast as they claiming 48% in 20 minsAnd it's get unusual temperature risedEar phone missed bcz now a day's all premium phone s will get good quality ear phone
            "
"phone is ok ..but battery drain very fast..Photo is good...the person who use more incoming and outgoing calls... This phone is not advisable.. then u carry Power bank or charger...1plus 6 is good , when you camper..Only for photo purpose is ok...
            "
"*SUPER ATTRACTIVE DISION*BOTH CAMERAS ARE SUPER*BATTERY LIFE IS GOOD*DELIVERY IS TOO LATE*BUT 1+  GIVE NO AUDIO JACK . THIS IS VERY DISAPPOINTED FOR ME*AUDIO QUALITY IS SUPER
            "
"I do not recieve Bluetooth earphone and car charger  in YouTube one plus 7 pro unboxing show Bluetooth earphone and car charger but i only receive phone
            "
"""FLAGSHIP KILLER TO FLAGSHIP""Planning to buy OnePlus 7 Pro? Here's all in one review:Bought OnePlus 7 Pro in first sale, now using it from few days.Yeah! OnePlus 7 Pro priced little high.PRO'S:- OnePlus 7 Pro's DISPLAY looks damn beautiful <U+0001F60D> with 6.67 inch OLED fluid Amoled 1440p display which has 90 Hz refresh rate.- It comes with pre-applied screen protector.- In display fingerprint sensor is faster than OnePlus 6T.- Warp charger charges very fast, from 0-50 in just 20 minutes.- In Fanatic mode, games can be played butter smooth.- Can shoot video with 4k 30 fps with EIS, 4k 60 fps without EIS.- Cam2api enabled.- Snapdragon 855 gives best performance.- Oxygen OS is BEAST, smooth, bloatware & ad-free, lag free.- UFS 3.0 helps to improve performance.CON'S:- Though, display looks beautiful with 90 Hz refresh rate, but because of that battery drains much faster, as result give Screen on time 4-5 hours. You can change it to 60 Hz to save battery.- Overpriced.- Camera is not up to mark to call Flagship, it is just AVERAGE. It can't even focus on near objects.- Device is heavy.- No IP rating, but according to few, it survives in water as well, but not tested personally <U+0001F61B>.- No wireless charging.- No headphone.FINAL VERDICT:- If OnePlus 7 Pro satisfies your requirement, buy it though it's little bit overpriced but still worth it.- If not 7 Pro, Samsung S10+ is also great choice.- Otherwise, if looking for low price phone, Flagship Killer 2.0 coming soon <U+0001F61C>Note: I'll update review, after using for few days.
            "
"Good phone. But after paying 52k we expect least a headphones. Ggwp OnePlus. On YouTube while unboxing. They get Bluetooth headphones, car charger, 3 different covers. Really disappointed when I found no headphone in 7pro 8gb RAM 256gb ROM
            "
"Display problem. After bought within one week
            "
"Very first 30 minutes of using the mobile phone (Unboxed it), It started heating up, temperature went up to 43 Degrees,Battery started draining, GPS didn't pick the location. Later fingerprint sensor was responding... I have to use the phone pin to unblock.Even visited the service center in Banjara Hills, And they told me to recreate the scene, Due to heat I have switch off the device, Fear of It might explode. Later they said to use for another day and visit again. Device still heating up.. same issues, Didn't expect this from a flagship phone with a heavy price....Contacting amazon to return the device
            "
" On the first day I am facing issue in setting and it's not opening having issue in WiFi connectivity...any more issue...
            "
"First of all i am a die hard fan of one plus.I have one plus 5t one plus 6t and now a one plus 7 pro.Seriously very disappointed with the camera.Before one plus i was a mi fan.I have redmi note 3 and note 7.Selfie camera comparison of op 7 n redmi note 7.Redmi note 7 selfie camera is for better than op 7 pro.Op7 pro selfie camera shows ur face like a skin disease patient.Where as op5t and op6t had no issues like this.For this price range op should have included wireless charging.Waiting for a better camera update.
            "
"What a gem of a smart device! Absolutely incredible.Bit heavy, and SD 855 keeps rolling as it reduces battery drainage unbelievably, i didn't expect that.And look at the price, Oh ho man...! it helps us saving atleast 20k, you know what i mean...<U+0001F609>
            "
"I have been using this phone for about last 4 days and the best part about this phone is the display it's truly gorgeous once you start using 1440P 90Hz display I bet you won't even feel using the 1080p display and the cherry on the top is its OLED black is black and all the colours looks just so great that it makes viewing experience like you are sitting in a IMAX.Alright enough about the display now speaking about the camera I think over the updates oneplus will improve it but still as of today it's still performs quite well in well lit environment but it underperfoms in low light environment however nightscape mode works quite well but I hope for the oneplus improvvs it over the updates.Under producing selfie camera performs well and I really like that it has a free fall detection which is like and insurance for your phoneSpeaking about the battery if you're going to game then I guess you will get around 4 hours of screen on time on 1440 p at 90 hz but if you are going to use this phone as a daily driver then it can get you through all the day I charge my phone at 7 in the morning and when I came back home at around 12 o'clock at the night I still had around 20% battery left so it's quite good for me.Other Interesting features like the processor of this phone the beauty of this phone and the glass back and its display is just Cherry on the top.In conclusion this is by far the best phone I have ever bought if you are going to buy any phone at around 50k price. Then definitely go for this and I think 8GB RAM variant is good enough I don't know why they made 12 GB variant
            "
"Heating as hell, poor battery backup. Camera is not good. And it's heavy. Don't feel effect of Dolby Atmos.Pro- just it's screen.I will update after further usage.Update after 1 week, heating issue gone. Facing WhatsApp and YouTube application's frequent crash. Camera quality is still an issue, it's good but not up to the mark of flagship.Update- pro-1. fingerprint sensor + face unlock is fast.2. night camera is really good3. video recording is stable.con-1. During calls there is a whistling sound.2. sometimes touch is not working properly in whatsapp,vlc, youtube, asphalt 8 etc.3. selfie camera is not upto mark4. phone is hanging after first update.
            "
"I generally use Apple iphone but this time I tried something different. I completely disappointed by using Oneplus 7 pro camera .iPhone 6 camera is more better than this. OIS and EIS is not working properly. There are so many UI issues as well in Oxygen OS.Phone is quite Bulky and not able to handle by using single hand. I wasted 53k to buy this phone. I never buy any product of OnePlus in future.
            "
